;num_cli;connexion_mois;source_web;typ_client;montant_credit;anciennete;utilisation_credit;logmt;sitfam;dept;tr_age;revfyr;assurance
54;55;<4;Referencement;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Provence-Alpes-Côte-Azur;26-35 ans;3000 a 3999;?
76;77;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;ile-de-France;36-45 ans;3000 a 3999;?
87;88;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Lorraine;26-35 ans;manquant;?
110;111;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Centre;26-35 ans;1500 a 1999;?
114;115;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Languedoc-Roussillon;26-35 ans;manquant;?
125;126;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Limousin;46-55 ans;< 1000;?
126;127;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;NR;Haute-Normandie;26-35 ans;manquant;?
136;137;<4;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;ile-de-France;56-65 ans;1500 a 1999;?
139;140;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;26-35 ans;1500 a 1999;?
156;157;>11;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Nord-Pas-de-Calais;36-45 ans;2000 a 2999;?
176;177;>11;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Basse-Normandie;56-65 ans;2000 a 2999;?
177;178;>11;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;26-35 ans;manquant;?
185;186;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;26-35 ans;manquant;?
252;253;5-10;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Picardie;26-35 ans;3000 a 3999;?
256;257;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;NR;Rhône-Alpes;26-35 ans;manquant;?
257;258;<4;Referencement;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Languedoc-Roussillon;56-65 ans;1000 a 1499;?
260;261;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;36-45 ans;< 1000;?
276;277;5-10;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Rhône-Alpes;26-35 ans;1500 a 1999;?
291;292;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Alsace;46-55 ans;1500 a 1999;?
302;303;5-10;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Franche-Comte;46-55 ans;< 1000;?
307;308;>11;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Divorce - separe - Veuf;Provence-Alpes-Côte-Azur;36-45 ans;2000 a 2999;?
313;314;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Languedoc-Roussillon;46-55 ans;1500 a 1999;?
